scenario,month,active_customers,mrr,revenue,net_profit,cumulative_net
Pessimistic,1,1,150.0,150.0,-677.0,-677.0
Pessimistic,2,3,441.0,441.0,61.62,-615.38
Pessimistic,3,6,864.54,864.54,408.92,-206.46
Pessimistic,4,9,1412.67,1412.67,858.39,651.93
Pessimistic,5,15,2227.91,2227.91,1526.88,2178.81
Pessimistic,6,22,3294.23,3294.23,2401.27,4580.09
Pessimistic,7,31,4596.58,4596.58,3469.19,8049.28
Pessimistic,8,41,6120.78,6120.78,4719.04,12768.32
Pessimistic,9,52,7853.54,7853.54,6139.9,18908.22
Pessimistic,10,65,9782.33,9782.33,7721.51,26629.73
Pessimistic,11,79,11895.39,11895.39,9454.22,36083.95
Pessimistic,12,95,14181.66,14181.66,11328.96,47412.91
Base,1,2,360.0,360.0,-494.0,-494.0
Base,2,6,1062.0,1062.0,602.7,108.7
Base,3,12,2088.9,2088.9,1475.57,1584.27
Base,4,20,3604.46,3604.46,2763.79,4348.05
Base,5,31,5584.23,5584.23,4446.6,8794.65
Base,6,45,8185.02,8185.02,6657.27,15451.92
Base,7,63,11375.77,11375.77,9369.4,24821.32
Base,8,84,15126.98,15126.98,12557.93,37379.25
Base,9,108,19410.63,19410.63,16199.04,53578.29
Base,10,135,24380.1,24380.1,20423.09,74001.38
Base,11,167,30001.1,30001.1,25200.93,99202.31
Base,12,202,36421.04,36421.04,30657.88,129860.19
Optimistic,1,3,600.0,600.0,-278.0,-278.0
Optimistic,2,9,1776.0,1776.0,1245.12,967.12
Optimistic,3,19,3704.96,3704.96,2923.32,3890.44
Optimistic,4,33,6556.76,6556.76,5404.38,9294.82
Optimistic,5,51,10294.49,10294.49,8656.21,17951.03
Optimistic,6,75,15082.71,15082.71,12821.96,30772.98
Optimistic,7,104,20879.4,20879.4,17865.08,48638.06
Optimistic,8,138,27644.23,27644.23,23750.48,72388.54
Optimistic,9,178,35538.46,35538.46,30618.46,103007.0
Optimistic,10,223,44516.92,44516.92,38429.72,141436.72
Optimistic,11,274,54736.24,54736.24,47320.53,188757.25
Optimistic,12,331,66146.79,66146.79,57247.71,246004.96
